,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
8434,2, Whitefield,12.983,77.754,1250,100000,25000,Semi Furnished,Newly Constructed,All,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-25000/ff8081816e230e3c016e2ae4b8e21bd4/detail
8435,2, Yelahanka,13.107,77.6,1000,120000,12500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-yelahanka-bangalore-for-rs-12500/ff80818156469c9f01564b19dae27224/detail
8436,2, Bommanahalli,12.9,77.622,1125,100000,15000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bommanahalli-bangalore-for-rs-15000/8a9f9254763e86c80176403f6f5a62e1/detail
8440,1, Kodihalli,12.963,77.647,500,60000,10500,Semi Furnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-10500/8a9f91e27550e93a0175542efb8e1cd1/detail
8441,1, Kodihalli,12.963,77.647,500,60000,10500,Semi Furnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kodihalli-bangalore-for-rs-10500/8a9f91e27550e93a0175542efb8e1cd1/detail
8442,1, Hsr Layout,12.905,77.645,550,60000,15000,Semi Furnished,Under Construction,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-15000/ff80818165ae2e460165aedad53b69e8/detail
8444,2, Kaggadasapura,12.979,77.681,1200,50000,14000,Semi Furnished,Under Construction,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kaggadasapura-bangalore-for-rs-14000/8a9f92517304817601730558608062fd/detail
8445,3, Whitefield,12.97,77.75,1650,149998,22500,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-22500/ff8081815211e8d7015212695aff06da/detail
8447,2, Mahadevapura,12.987,77.688,1192,200000,30000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-mahadevapura-bangalore-for-rs-30000/ff808181658e7fbd01658ec3ad2227a8/detail
8448,2, Hoodi,12.991,77.717,1025,100000,18000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hoodi-bangalore-for-rs-18000/8a9f998276eedb930176eee7f709002d/detail
8449,3, Gottigere,12.86,77.575,1358,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gottigere-bangalore-for-rs-20000/ff8081814ebf8598014ec24f60880c55/detail
8450,2, Koramangala,12.936,77.632,1050,150000,25000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-25000/8a9f8263759927fd01759baa776651ed/detail
8451,3, Gottigere,12.86,77.575,1358,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gottigere-bangalore-for-rs-20000/ff8081814ebf8598014ec24f60880c55/detail
8452,2, Koramangala,12.936,77.632,1050,150000,25000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-25000/8a9f8263759927fd01759baa776651ed/detail
8454,2, Hulimavu,12.876,77.596,800,50000,11000,Semi Furnished,5-10 years ,All,01-Feb-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hulimavu-bangalore-for-rs-11000/8a9f81c670e3205c0170e33b985f0cde/detail
8456,1, Begur,12.885,77.625,500,40000,8000,Semi Furnished,Newly Constructed,Family,26-Jan-2021,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-begur-bangalore-for-rs-8000/8a9f8c137266525501726a08f06a435b/detail
8461,1, Munnekollal,12.948,77.713,500,40000,9000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-munnekollal-bangalore-for-rs-9000/ff80818159fa0f0f0159fe18e0b9465f/detail
8465,2, Basapura,12.865,77.654,1100,200000,22000,Full Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-basapura-bangalore-for-rs-22000/8a9f998276edb1200176ee218ad00f82/detail
8466,1, Jp Nagar,12.913,77.59,600,60000,10500,Semi Furnished,5-10 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-jp-nagar-bangalore-for-rs-10500/8a9f93f074fc373d0174fceda4896330/detail
