BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
2, Sahakar Ngr,13.067,77.586,1100,200000,20000,Semi Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sahakar-ngr-bangalore-for-rs-20000/ff8081816c99a24e016c99be93d50cb5/detail
2, Banaswadi Ramurthy Nagar Main Rd,13.015,77.657,1040,200000,20000,Semi Furnished,3-5 years ,Family,15-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-banaswadi-ramurthy-nagar-main-rd-bangalore-for-rs-20000/8a9f9082766b7d1701766b8b5f010396/detail
2, Armane Nagar,13.02,77.576,700,150000,16500,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-armane-nagar-bangalore-for-rs-16500/ff8081816ef49174016ef8a2d20f5226/detail
2, Whitefield,12.983,77.745,1100,100000,22000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-22000/8a9fac8276eb1e8f0176eb9fa1b13416/detail
3, Haralur Main Rd,12.896,77.657,1770,150000,30000,Semi Furnished,5-10 years ,All,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-haralur-main-rd-bangalore-for-rs-30000/ff80818153454433015346a9df4e2687/detail
3, Kyalasanahalli,13.063,77.662,1482,150000,25000,Semi Furnished,Newly Constructed,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kyalasanahalli-bangalore-for-rs-25000/8a9f82c075f3fd710175f47fc4332cee/detail
3, Whitefield,12.967,77.736,1315,120000,25000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-25000/ff8081816daf0e5b016db04a7ea14a4b/detail
2, Kasavanahalli,12.904,77.676,900,80000,18000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-18000/8a9f8eea6f8fa6f0016f9811fb9c4ed2/detail
1, Nagarbhavi,12.972,77.513,500,75000,8000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-nagarbhavi-bangalore-for-rs-8000/ff8081814e5cc5af014e6d73f9180f73/detail
2, Brookefield,12.972,77.715,1200,150000,23000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-23000/8a9f939475641551017564ac95154a09/detail
2, Hongasandra,12.889,77.622,1265,150000,16000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hongasandra-bangalore-for-rs-16000/8a9f80ae6fe7e0c3016fea6fac682cc1/detail
1, Kasavanahalli,12.904,77.676,600,50000,11800,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-11800/8a9f8f876f756117016f756b4b8a0204/detail
3, Brookefield,12.96,77.716,1264,50000,30000,Full Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-brookefield-bangalore-for-rs-30000/8a9f97b376a25ffb0176a2dcfc132643/detail
2, Balagere,12.939,77.72,1210,175000,30000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-balagere-bangalore-for-rs-30000/8a9f8a167037f92201703886a17d46a0/detail
1, Balagere,12.94,77.729,660,100000,20000,Semi Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-balagere-bangalore-for-rs-20000/8a9fa78276dcf4c70176dd19fc9a0b6c/detail
3, Chikkakannalli,12.896,77.708,1446,100000,31000,Full Furnished,3-5 years ,All,14-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-chikkakannalli-bangalore-for-rs-31000/8a9f93a1762bec8601762c8112a63200/detail
